eVs,Wavelength,Si,GaAs,CdTe,CdTe monocrystalline,CdTe_FCA,CIGS,CIS,GaNP,GaNP older,GaAs_Aspnes,GaAs_Sze,GaAs_Adachi,GaAs_Sturge,Old_CdTe,perovskite triple cation,perovskite MaPI,MaPI no extrapolation,MaPI extrapolated,MaPI extrapolated highly extrapolated,Triple Cation Perovskite Urbach Tail Hybrid,GaAs_Palik_eyeballed,GaAs_Palik_Urbach,GaAs_original_data
0.316286338,3920.001963,1.15E-27,8.08E-33,7.30E-64,0,6.35E-18,8.46E-46,0,0,0,0,0,0,1.00E-34,0,9.63E-34,0,0,0,0.00E+00,9.76E-34,0,3.14E-29,0
0.31669028,3915.001957,1.19E-27,8.32E-33,7.70E-64,0,6.32E-18,8.93E-46,0,0,0,0,0,0,1.00E-34,0,9.90E-34,0,0,0,0.00E+00,1.00E-33,0,3.22E-29,0
0.317095255,3910.001952,1.23E-27,8.57E-33,8.13E-64,0,6.30E-18,9.44E-46,0,0,0,0,0,0,1.00E-34,0,1.02E-33,0,0,0,0.00E+00,1.03E-33,0,3.31E-29,0
0.317501267,3905.001947,1.27E-27,8.82E-33,8.59E-64,0,6.28E-18,9.97E-46,0,0,0,0,0,0,1.00E-34,0,1.04E-33,0,0,0,0.00E+00,1.06E-33,0,3.40E-29,0
0.31790832,3900.001944,1.32E-27,9.09E-33,9.07E-64,0,6.26E-18,1.05E-45,0,0,0,0,0,0,1.00E-34,0,1.07E-33,0,0,0,0.00E+00,1.09E-33,0,3.49E-29,0
0.318316418,3895.001941,1.36E-27,9.36E-33,9.58E-64,0,6.24E-18,1.11E-45,0,0,0,0,0,0,1.00E-34,0,1.10E-33,0,0,0,0.00E+00,1.12E-33,0,3.58E-29,0
0.318725565,3890.001939,1.41E-27,9.65E-33,1.01E-63,0,6.21E-18,1.18E-45,0,0,0,0,0,0,1.00E-34,0,1.13E-33,0,0,0,0.00E+00,1.15E-33,0,3.68E-29,0
0.319135765,3885.001939,1.45E-27,9.94E-33,1.07E-63,0,6.19E-18,1.24E-45,0,0,0,0,0,0,1.00E-34,0,1.16E-33,0,0,0,0.00E+00,1.18E-33,0,3.78E-29,0
0.319547022,3880.001942,1.50E-27,1.02E-32,1.13E-63,0,6.17E-18,1.32E-45,0,0,0,0,0,0,1.00E-34,0,1.20E-33,0,0,0,0.00E+00,1.21E-33,0,3.88E-29,0
0.319959341,3875.001936,1.55E-27,1.06E-32,1.19E-63,0,6.15E-18,1.39E-45,0,0,0,0,0,0,1.00E-34,0,1.23E-33,0,0,0,0.00E+00,1.25E-33,0,3.99E-29,0
0.320372725,3870.001936,1.61E-27,1.09E-32,1.26E-63,0,6.13E-18,1.47E-45,0,0,0,0,0,0,1.00E-34,0,1.27E-33,0,0,0,0.00E+00,1.28E-33,0,4.09E-29,0
0.320787179,3865.00193,1.66E-27,1.12E-32,1.33E-63,0,6.10E-18,1.56E-45,0,0,0,0,0,0,1.00E-34,0,1.30E-33,0,0,0,0.00E+00,1.32E-33,0,4.21E-29,0
0.321202706,3860.001932,1.72E-27,1.16E-32,1.41E-63,0,6.08E-18,1.65E-45,0,0,0,0,0,0,1.00E-34,0,1.34E-33,0,0,0,0.00E+00,1.36E-33,0,4.32E-29,0
0.321619312,3855.001922,1.78E-27,1.19E-32,1.49E-63,0,6.06E-18,1.74E-45,0,0,0,0,0,0,1.00E-34,0,1.37E-33,0,0,0,0.00E+00,1.39E-33,0,4.44E-29,0
0.322036999,3850.001924,1.84E-27,1.23E-32,1.58E-63,0,6.04E-18,1.84E-45,0,0,0,0,0,0,1.00E-34,0,1.41E-33,0,0,0,0.00E+00,1.43E-33,0,4.56E-29,0
0.322455773,3845.001919,1.90E-27,1.27E-32,1.67E-63,0,6.02E-18,1.95E-45,0,0,0,0,0,0,1.00E-34,0,1.45E-33,0,0,0,0.00E+00,1.47E-33,0,4.69E-29,0
0.322875637,3840.00192,1.97E-27,1.31E-32,1.76E-63,0,6.00E-18,2.06E-45,0,0,0,0,0,0,1.00E-34,0,1.49E-33,0,0,0,0.00E+00,1.51E-33,0,4.82E-29,0
0.323296596,3835.001918,2.04E-27,1.35E-32,1.87E-63,0,5.98E-18,2.19E-45,0,0,0,0,0,0,1.00E-34,0,1.54E-33,0,0,0,0.00E+00,1.56E-33,0,4.95E-29,0
0.323718655,3830.001907,2.11E-27,1.39E-32,1.97E-63,0,5.95E-18,2.31E-45,0,0,0,0,0,0,1.00E-34,0,1.58E-33,0,0,0,0.00E+00,1.60E-33,0,5.09E-29,0
0.324141816,3825.001912,2.18E-27,1.43E-32,2.09E-63,0,5.93E-18,2.45E-45,0,0,0,0,0,0,1.00E-34,0,1.63E-33,0,0,0,0.00E+00,1.65E-33,0,5.24E-29,0
0.324566086,3820.001902,2.26E-27,1.48E-32,2.21E-63,0,5.91E-18,2.60E-45,0,0,0,0,0,0,1.00E-34,0,1.67E-33,0,0,0,0.00E+00,1.70E-33,0,5.38E-29,0
0.324991467,3815.001906,2.34E-27,1.52E-32,2.34E-63,0,5.89E-18,2.75E-45,0,0,0,0,0,0,1.00E-34,0,1.72E-33,0,0,0,0.00E+00,1.74E-33,0,5.53E-29,0
